reason,machine,breakTime,nextBreak
Machine Breakdown,01M,05-01-2019 06:27:44,05-01-2019 07:07:58
Heat check,01M,05-01-2019 07:07:58,05-01-2019 07:28:19
Machine Breakdown,01M,05-01-2019 07:28:19,05-01-2019 08:16:10
Heat check,01M,05-01-2019 08:16:10,05-01-2019 08:22:06
Heat check,01M,05-01-2019 08:22:06,05-01-2019 08:45:17
Heat check,01M,05-01-2019 08:45:17,05-01-2019 09:53:20
Machine Breakdown,01M,05-01-2019 09:53:20,05-01-2019 09:56:35
Machine Breakdown,01M,05-01-2019 09:56:35,05-01-2019 12:33:17
Machine Breakdown,01M,05-01-2019 12:33:17,05-01-2019 13:08:09
Heat check,01M,05-01-2019 13:08:09,05-01-2019 14:05:15
Machine Breakdown,01M,05-01-2019 14:05:15,05-01-2019 15:07:27
Machine Breakdown,01M,05-01-2019 15:07:27,05-01-2019 15:21:19
Machine Breakdown,01M,05-01-2019 15:21:19,05-01-2019 15:24:00
Heat check,01M,05-01-2019 15:24:00,05-01-2019 16:35:03
Heat check,01M,05-01-2019 16:35:03,05-01-2019 16:39:45
Heat check,01M,05-01-2019 16:39:45,05-01-2019 19:02:26
Heat check,01M,05-01-2019 19:02:26,05-01-2019 19:35:15
Machine Breakdown,01M,05-01-2019 19:35:15,07-01-2019 06:00:34
Machine Breakdown,01M,07-01-2019 06:00:34,07-01-2019 06:02:27
Machine Breakdown,01M,07-01-2019 06:02:27,07-01-2019 06:02:38
Machine Breakdown,01M,07-01-2019 06:02:38,07-01-2019 06:06:52
Machine Breakdown,01M,07-01-2019 06:06:52,07-01-2019 06:07:06
Machine Breakdown,01M,07-01-2019 06:07:06,07-01-2019 06:07:15
Machine Breakdown,01M,07-01-2019 06:07:15,07-01-2019 06:08:18
Machine Breakdown,01M,07-01-2019 06:08:18,07-01-2019 06:08:26
Machine Breakdown,01M,07-01-2019 06:08:26,07-01-2019 06:08:32
Machine Breakdown,01M,07-01-2019 06:08:32,07-01-2019 06:11:00
Machine Breakdown,01M,07-01-2019 06:11:00,07-01-2019 06:11:11
Machine Breakdown,01M,07-01-2019 06:11:11,07-01-2019 07:21:00
Machine Breakdown,01M,07-01-2019 07:21:00,07-01-2019 07:25:06
Heat check,01M,07-01-2019 07:25:06,07-01-2019 07:30:57
Machine Breakdown,01M,07-01-2019 07:30:57,07-01-2019 07:37:34
Heat check,01M,07-01-2019 07:37:34,07-01-2019 08:20:29
Heat check,01M,07-01-2019 08:20:29,07-01-2019 08:22:41
Heat check,01M,07-01-2019 08:22:41,07-01-2019 08:45:04
Machine Breakdown,01M,07-01-2019 08:45:04,07-01-2019 09:39:52
Heat check,01M,07-01-2019 09:39:52,07-01-2019 10:22:43
Heat check,01M,07-01-2019 10:22:43,07-01-2019 10:40:40
Heat check,01M,07-01-2019 10:40:40,07-01-2019 11:32:22
Heat check,01M,07-01-2019 11:32:22,07-01-2019 14:50:53
Heat check,01M,07-01-2019 14:50:53,07-01-2019 14:51:07
Machine Breakdown,01M,07-01-2019 14:51:07,07-01-2019 14:53:29
Heat check,01M,07-01-2019 14:53:29,07-01-2019 15:09:33
Heat check,01M,07-01-2019 15:09:33,07-01-2019 15:43:51
Heat check,01M,07-01-2019 15:43:51,07-01-2019 17:19:45
Heat check,01M,07-01-2019 17:19:45,07-01-2019 18:06:53
Heat check,01M,07-01-2019 18:06:53,07-01-2019 18:25:56
Heat check,02M,08-01-2019 06:41:37,08-01-2019 07:04:18
Heat check,02M,08-01-2019 07:04:18,08-01-2019 07:12:45
Heat check,02M,08-01-2019 07:12:45,08-01-2019 07:24:58
Machine Breakdown,02M,08-01-2019 07:24:58,08-01-2019 07:28:15
Heat check,02M,08-01-2019 07:28:15,08-01-2019 08:05:27
Machine Breakdown,02M,08-01-2019 08:05:27,08-01-2019 08:13:05
Machine Breakdown,02M,08-01-2019 08:13:05,08-01-2019 08:19:45
Machine Breakdown,02M,08-01-2019 08:19:45,08-01-2019 08:52:09
Heat check,02M,08-01-2019 08:52:09,08-01-2019 09:01:23
Machine Breakdown,02M,08-01-2019 09:01:23,08-01-2019 09:39:36
Heat check,02M,08-01-2019 09:39:36,08-01-2019 11:36:09
Heat check,02M,08-01-2019 11:36:09,08-01-2019 11:37:30
Heat check,02M,08-01-2019 11:37:30,08-01-2019 11:40:05
Heat check,02M,08-01-2019 11:40:05,08-01-2019 13:20:52
Machine Breakdown,02M,08-01-2019 13:20:52,08-01-2019 14:19:03
Heat check,02M,08-01-2019 14:19:03,08-01-2019 14:43:53
Heat check,02M,08-01-2019 14:43:53,08-01-2019 15:07:08
Heat check,02M,08-01-2019 15:07:08,08-01-2019 15:28:33
Machine Breakdown,02M,08-01-2019 15:28:33,08-01-2019 16:14:13
Heat check,02M,08-01-2019 16:14:13,08-01-2019 16:45:26
Heat check,02M,08-01-2019 16:45:26,08-01-2019 17:32:53
Heat check,02M,08-01-2019 17:32:53,08-01-2019 17:50:21
Heat check,02M,08-01-2019 17:50:21,08-01-2019 18:06:27
Heat check,02M,08-01-2019 18:06:27,08-01-2019 18:53:46
Heat check,02M,08-01-2019 18:53:46,09-01-2019 06:15:20
Heat check,02M,09-01-2019 06:15:20,09-01-2019 07:03:31
Heat check,02M,09-01-2019 07:03:31,09-01-2019 07:04:14
Heat check,02M,09-01-2019 07:04:14,09-01-2019 07:05:49
Heat check,02M,09-01-2019 07:05:49,09-01-2019 07:24:46
Heat check,02M,09-01-2019 07:24:46,09-01-2019 08:13:50
Machine Breakdown,02M,09-01-2019 08:13:50,09-01-2019 10:15:05
Machine Breakdown,02M,09-01-2019 10:15:05,09-01-2019 10:22:05
Heat check,02M,09-01-2019 10:22:05,09-01-2019 12:37:00
Machine Breakdown,02M,09-01-2019 12:37:00,09-01-2019 13:13:46
Machine Breakdown,02M,09-01-2019 13:13:46,09-01-2019 14:21:51
Machine Breakdown,02M,09-01-2019 14:21:51,09-01-2019 14:44:51
Machine Breakdown,02M,09-01-2019 14:44:51,09-01-2019 15:56:44
Heat check,02M,09-01-2019 15:56:44,09-01-2019 16:02:27
Heat check,02M,09-01-2019 16:02:27,09-01-2019 16:23:00
Machine Breakdown,02M,09-01-2019 16:23:00,09-01-2019 17:54:27
Heat check,02M,09-01-2019 17:54:27,09-01-2019 18:20:39
Heat check,02M,09-01-2019 18:20:39,09-01-2019 18:43:58
Machine Breakdown,02M,09-01-2019 18:43:58,09-01-2019 19:12:51
Heat check,02M,09-01-2019 19:12:51,09-01-2019 20:40:02
Heat check,02M,09-01-2019 20:40:02,10-01-2019 06:03:38
Machine Breakdown,02M,10-01-2019 06:03:38,10-01-2019 06:03:45
Machine Breakdown,02M,10-01-2019 06:03:45,10-01-2019 06:08:18
Machine Breakdown,02M,10-01-2019 06:08:18,10-01-2019 06:10:43
Heat check,02M,10-01-2019 06:10:43,10-01-2019 06:14:36
Overheat,02M,10-01-2019 06:14:36,10-01-2019 06:30:12
Machine Breakdown,02M,10-01-2019 06:30:12,10-01-2019 06:50:03
Heat check,02M,10-01-2019 06:50:03,10-01-2019 06:59:51
Heat check,02M,10-01-2019 06:59:51,10-01-2019 07:13:04
Heat check,02M,10-01-2019 07:13:04,10-01-2019 07:33:25
Machine Breakdown,02M,10-01-2019 07:33:25,10-01-2019 08:19:15
Machine Breakdown,02M,10-01-2019 08:19:15,10-01-2019 09:01:41
Machine Breakdown,02M,10-01-2019 09:01:41,10-01-2019 09:33:26
Machine Breakdown,02M,10-01-2019 09:33:26,10-01-2019 09:58:43
Machine Breakdown,02M,10-01-2019 09:58:43,10-01-2019 11:57:21
Heat check,02M,10-01-2019 11:57:21,10-01-2019 11:58:38
Heat check,02M,10-01-2019 11:58:38,10-01-2019 12:36:54
Machine Breakdown,02M,10-01-2019 12:36:54,10-01-2019 12:38:06
Heat check,02M,10-01-2019 12:38:06,10-01-2019 12:41:30
Heat check,02M,10-01-2019 12:41:30,10-01-2019 13:08:57
Heat check,02M,10-01-2019 13:08:57,10-01-2019 13:21:36
Machine Breakdown,02M,10-01-2019 13:21:36,10-01-2019 15:20:46
Heat check,02M,10-01-2019 15:20:46,10-01-2019 15:44:17
Heat check,02M,10-01-2019 15:44:17,10-01-2019 15:45:53
Heat check,02M,10-01-2019 15:45:53,10-01-2019 15:55:47
Heat check,02M,10-01-2019 15:55:47,10-01-2019 15:59:03
Heat check,02M,10-01-2019 15:59:03,10-01-2019 16:11:05
Heat check,02M,10-01-2019 16:11:05,10-01-2019 16:13:37
Heat check,02M,10-01-2019 16:13:37,10-01-2019 16:13:48
Machine Breakdown,02M,10-01-2019 16:13:48,10-01-2019 16:43:36
Machine Breakdown,02M,10-01-2019 16:43:36,10-01-2019 19:46:20
Heat check,02M,10-01-2019 19:46:20,10-01-2019 20:37:58
Machine Breakdown,02M,10-01-2019 20:37:58,10-01-2019 21:03:14
Machine Breakdown,02M,10-01-2019 21:03:14,10-01-2019 21:04:24
Machine Breakdown,02M,10-01-2019 21:04:24,10-01-2019 21:39:25
Machine Breakdown,02M,10-01-2019 21:39:25,11-01-2019 06:34:29
Machine Breakdown,02M,11-01-2019 06:34:29,11-01-2019 06:58:40
Heat check,02M,11-01-2019 06:58:40,11-01-2019 07:29:49
Machine Breakdown,02M,11-01-2019 07:29:49,11-01-2019 08:20:32
Heat check,02M,11-01-2019 08:20:32,11-01-2019 08:27:37
Machine Breakdown,02M,11-01-2019 08:27:37,11-01-2019 08:37:26
Heat check,02M,11-01-2019 08:37:26,11-01-2019 11:28:14
Machine Breakdown,02M,11-01-2019 11:28:14,11-01-2019 11:55:27
Machine Breakdown,02M,11-01-2019 11:55:27,11-01-2019 12:31:57
Heat check,02M,11-01-2019 12:31:57,11-01-2019 14:20:48
Heat check,02M,11-01-2019 14:20:48,11-01-2019 14:49:42
Machine Breakdown,02M,11-01-2019 14:49:42,11-01-2019 15:21:49
Heat check,02M,11-01-2019 15:21:49,11-01-2019 15:28:14
Machine Breakdown,02M,11-01-2019 15:28:14,11-01-2019 15:31:36
Heat check,02M,11-01-2019 15:31:36,11-01-2019 15:39:18
Heat check,02M,11-01-2019 15:39:18,11-01-2019 15:59:23
Heat check,02M,11-01-2019 15:59:23,11-01-2019 16:03:15
Machine Breakdown,02M,11-01-2019 16:03:15,11-01-2019 16:26:39
Machine Breakdown,02M,11-01-2019 16:26:39,11-01-2019 16:47:09
Machine Breakdown,02M,11-01-2019 16:47:09,11-01-2019 19:22:13
Heat check,02M,11-01-2019 19:22:13,11-01-2019 20:57:10
Machine Breakdown,02M,11-01-2019 20:57:10,11-01-2019 21:36:14
Machine Breakdown,02M,11-01-2019 21:36:14,16-01-2019 06:19:10
Machine Breakdown,02M,16-01-2019 06:19:10,16-01-2019 06:23:10
Machine Breakdown,02M,16-01-2019 06:23:10,16-01-2019 07:37:32
Heat check,02M,16-01-2019 07:37:32,16-01-2019 08:15:23
Heat check,03M,17-01-2019 14:41:35,17-01-2019 14:44:45
Heat check,03M,17-01-2019 14:44:45,17-01-2019 14:47:43
Heat check,03M,17-01-2019 14:47:43,17-01-2019 14:53:42
Heat check,03M,17-01-2019 14:53:42,17-01-2019 15:12:47
Heat check,03M,17-01-2019 15:12:47,17-01-2019 15:40:09
Heat check,03M,17-01-2019 15:40:09,17-01-2019 15:50:26
Heat check,03M,17-01-2019 15:50:26,17-01-2019 16:44:11
Machine Breakdown,03M,17-01-2019 16:44:11,17-01-2019 19:46:59
Heat check,03M,17-01-2019 19:46:59,18-01-2019 06:10:22
Machine Breakdown,03M,18-01-2019 06:10:22,18-01-2019 06:36:12
Heat check,03M,18-01-2019 06:36:12,18-01-2019 06:45:04
Heat check,03M,18-01-2019 06:45:04,18-01-2019 06:57:46
Heat check,03M,18-01-2019 06:57:46,18-01-2019 06:58:09
Heat check,03M,18-01-2019 06:58:09,18-01-2019 07:14:28
Heat check,03M,18-01-2019 07:14:28,18-01-2019 07:25:23
Heat check,03M,18-01-2019 07:25:23,18-01-2019 07:30:57
Heat check,03M,18-01-2019 07:30:57,18-01-2019 08:14:03
Machine Breakdown,03M,18-01-2019 08:14:03,18-01-2019 08:38:57
Heat check,03M,18-01-2019 08:38:57,18-01-2019 09:12:57
Machine Breakdown,03M,18-01-2019 09:12:57,18-01-2019 10:05:29
Machine Breakdown,03M,18-01-2019 10:05:29,18-01-2019 10:23:17
Machine Breakdown,03M,18-01-2019 10:23:17,18-01-2019 10:28:07
Heat check,03M,18-01-2019 10:28:07,18-01-2019 11:45:31
Heat check,03M,18-01-2019 11:45:31,18-01-2019 12:16:09
Machine Breakdown,03M,18-01-2019 12:16:09,18-01-2019 12:26:41
Heat check,03M,18-01-2019 12:26:41,18-01-2019 12:47:27
Heat check,03M,18-01-2019 12:47:27,18-01-2019 13:22:13
Heat check,03M,18-01-2019 13:22:13,18-01-2019 13:24:25
Heat check,03M,18-01-2019 13:24:25,18-01-2019 14:21:29
Machine Breakdown,03M,18-01-2019 14:21:29,18-01-2019 14:44:05
Heat check,03M,18-01-2019 14:44:05,18-01-2019 14:50:25
Heat check,03M,18-01-2019 14:50:25,18-01-2019 15:00:52
Heat check,03M,18-01-2019 15:00:52,18-01-2019 15:13:26
Machine Breakdown,03M,18-01-2019 15:13:26,18-01-2019 15:20:47
Heat check,03M,18-01-2019 15:20:47,18-01-2019 15:26:55
Machine Breakdown,03M,18-01-2019 15:26:55,18-01-2019 15:32:59
Machine Breakdown,03M,18-01-2019 15:32:59,18-01-2019 16:47:01
Machine Breakdown,03M,18-01-2019 16:47:01,18-01-2019 16:49:12
Machine Breakdown,03M,18-01-2019 16:49:12,18-01-2019 17:25:12
Machine Breakdown,03M,18-01-2019 17:25:12,18-01-2019 19:13:11
Heat check,03M,18-01-2019 19:13:11,18-01-2019 19:22:39
Heat check,03M,18-01-2019 19:22:39,18-01-2019 19:33:34
Heat check,03M,18-01-2019 19:33:34,18-01-2019 19:37:48
Heat check,03M,18-01-2019 19:37:48,18-01-2019 20:39:36
Machine Breakdown,03M,18-01-2019 20:39:36,18-01-2019 21:12:14
Heat check,03M,18-01-2019 21:12:14,19-01-2019 06:17:04
Machine Breakdown,03M,19-01-2019 06:17:04,19-01-2019 06:49:16
Heat check,03M,19-01-2019 06:49:16,19-01-2019 06:58:10
Machine Breakdown,03M,19-01-2019 06:58:10,19-01-2019 07:29:41
Machine Breakdown,03M,19-01-2019 07:29:41,19-01-2019 08:19:19
Heat check,03M,19-01-2019 08:19:19,19-01-2019 08:40:23
Heat check,03M,19-01-2019 08:40:23,19-01-2019 08:54:33
Heat check,03M,19-01-2019 08:54:33,19-01-2019 10:14:06
Heat check,03M,19-01-2019 10:14:06,19-01-2019 10:43:31
Heat check,03M,19-01-2019 10:43:31,19-01-2019 11:43:01
Machine Breakdown,03M,19-01-2019 11:43:01,19-01-2019 11:43:16
Heat check,03M,19-01-2019 11:43:16,19-01-2019 12:37:19
Heat check,03M,19-01-2019 12:37:19,19-01-2019 14:29:30
Heat check,03M,19-01-2019 14:29:30,19-01-2019 15:19:25
Heat check,03M,19-01-2019 15:19:25,19-01-2019 16:47:40
Machine Breakdown,03M,19-01-2019 16:47:40,19-01-2019 16:47:52
Machine Breakdown,03M,19-01-2019 16:47:52,19-01-2019 17:55:37
Machine Breakdown,03M,19-01-2019 17:55:37,19-01-2019 18:09:09
Heat check,03M,19-01-2019 18:09:09,19-01-2019 18:11:46
Heat check,03M,19-01-2019 18:11:46,19-01-2019 19:29:15
Machine Breakdown,03M,19-01-2019 19:29:15,19-01-2019 19:51:32
Machine Breakdown,03M,19-01-2019 19:51:32,19-01-2019 20:46:17
Machine Breakdown,03M,19-01-2019 20:46:17,19-01-2019 21:05:07
Heat check,03M,19-01-2019 21:05:07,19-01-2019 21:14:29
Heat check,03M,19-01-2019 21:14:29,21-01-2019 06:02:42
Overheat,03M,21-01-2019 06:02:42,21-01-2019 06:23:12
Machine Breakdown,03M,21-01-2019 06:23:12,21-01-2019 06:23:21
Machine Breakdown,03M,21-01-2019 06:23:21,21-01-2019 06:57:58
Heat check,03M,21-01-2019 06:57:58,21-01-2019 07:01:37
Heat check,03M,21-01-2019 07:01:37,21-01-2019 07:25:41
Heat check,03M,21-01-2019 07:25:41,21-01-2019 08:16:10
Heat check,03M,21-01-2019 08:16:10,21-01-2019 08:36:11
Heat check,03M,21-01-2019 08:36:11,21-01-2019 10:14:20
Heat check,03M,21-01-2019 10:14:20,21-01-2019 10:16:09
Heat check,03M,21-01-2019 10:16:09,21-01-2019 11:36:47
Heat check,03M,21-01-2019 11:36:47,21-01-2019 13:05:01
Machine Breakdown,03M,21-01-2019 13:05:01,21-01-2019 14:26:21
Heat check,03M,21-01-2019 14:26:21,21-01-2019 14:29:31
Machine Breakdown,03M,21-01-2019 14:29:31,21-01-2019 14:41:50
Heat check,03M,21-01-2019 14:41:50,21-01-2019 15:05:13
Heat check,03M,21-01-2019 15:05:13,21-01-2019 15:06:45
Heat check,03M,21-01-2019 15:06:45,21-01-2019 15:45:19
Heat check,03M,21-01-2019 15:45:19,21-01-2019 17:40:25
Heat check,03M,21-01-2019 17:40:25,21-01-2019 18:35:42
Heat check,03M,21-01-2019 18:35:42,21-01-2019 18:47:33
Heat check,03M,21-01-2019 18:47:33,21-01-2019 21:49:12
Heat check,03M,21-01-2019 21:49:12,22-01-2019 07:22:27
Heat check,03M,22-01-2019 07:22:27,22-01-2019 08:11:51
Heat check,03M,22-01-2019 08:11:51,22-01-2019 10:25:24
Heat check,03M,22-01-2019 10:25:24,22-01-2019 11:55:55
Heat check,03M,22-01-2019 11:55:55,22-01-2019 12:25:55
Machine Breakdown,03M,22-01-2019 12:25:55,22-01-2019 12:27:56
Machine Breakdown,03M,22-01-2019 12:27:56,22-01-2019 12:28:15
Machine Breakdown,03M,22-01-2019 12:28:15,22-01-2019 14:24:58
Machine Breakdown,03M,22-01-2019 14:24:58,22-01-2019 15:10:32
Machine Breakdown,03M,22-01-2019 15:10:32,22-01-2019 15:18:15
Heat check,03M,22-01-2019 15:18:15,22-01-2019 18:24:31
Heat check,03M,22-01-2019 18:24:31,22-01-2019 18:47:20
Machine Breakdown,03M,22-01-2019 18:47:20,22-01-2019 19:11:39
Machine Breakdown,03M,22-01-2019 19:11:39,22-01-2019 19:23:16
Machine Breakdown,03M,22-01-2019 19:23:16,22-01-2019 21:36:09
Machine Breakdown,03M,22-01-2019 21:36:09,23-01-2019 06:18:00
Machine Breakdown,03M,23-01-2019 06:18:00,23-01-2019 07:02:23
Heat check,03M,23-01-2019 07:02:23,23-01-2019 07:06:50
Machine Breakdown,03M,23-01-2019 07:06:50,23-01-2019 07:41:01
Heat check,03M,23-01-2019 07:41:01,23-01-2019 09:06:30
Heat check,03M,23-01-2019 09:06:30,23-01-2019 09:20:10
Heat check,03M,23-01-2019 09:20:10,23-01-2019 11:43:03
Machine Breakdown,03M,23-01-2019 11:43:03,23-01-2019 11:45:32
Heat check,03M,23-01-2019 11:45:32,23-01-2019 12:05:02
Heat check,03M,23-01-2019 12:05:02,23-01-2019 15:38:21
Heat check,03M,23-01-2019 15:38:21,23-01-2019 15:40:24
Heat check,03M,23-01-2019 15:40:24,23-01-2019 15:40:37
Heat check,03M,23-01-2019 15:40:37,23-01-2019 16:36:46
Machine Breakdown,03M,23-01-2019 16:36:46,23-01-2019 16:49:06
Heat check,03M,23-01-2019 16:49:06,23-01-2019 17:51:11
Machine Breakdown,03M,23-01-2019 17:51:11,23-01-2019 17:52:42
Machine Breakdown,03M,23-01-2019 17:52:42,23-01-2019 18:33:47
Heat check,03M,23-01-2019 18:33:47,23-01-2019 21:47:39
Machine Breakdown,03M,23-01-2019 21:47:39,24-01-2019 06:32:03
Heat check,03M,24-01-2019 06:32:03,24-01-2019 06:58:47
Heat check,03M,24-01-2019 06:58:47,24-01-2019 07:01:21
Machine Breakdown,03M,24-01-2019 07:01:21,24-01-2019 07:20:57
Heat check,03M,24-01-2019 07:20:57,24-01-2019 08:14:24
Heat check,03M,24-01-2019 08:14:24,24-01-2019 10:14:59
Machine Breakdown,03M,24-01-2019 10:14:59,24-01-2019 10:44:33
Machine Breakdown,03M,24-01-2019 10:44:33,24-01-2019 11:46:48
Heat check,03M,24-01-2019 11:46:48,24-01-2019 12:31:17
Heat check,03M,24-01-2019 12:31:17,24-01-2019 14:37:58
Machine Breakdown,03M,24-01-2019 14:37:58,24-01-2019 14:54:36
Heat check,03M,24-01-2019 14:54:36,24-01-2019 14:56:57
Heat check,03M,24-01-2019 14:56:57,24-01-2019 15:37:42
Heat check,03M,24-01-2019 15:37:42,24-01-2019 18:14:53
Heat check,03M,24-01-2019 18:14:53,24-01-2019 19:15:45
Heat check,03M,24-01-2019 19:15:45,24-01-2019 21:03:08
Machine Breakdown,03M,24-01-2019 21:03:08,24-01-2019 21:08:52
Machine Breakdown,03M,24-01-2019 21:08:52,24-01-2019 21:11:14
Machine Breakdown,03M,24-01-2019 21:11:14,24-01-2019 21:11:23
Machine Breakdown,03M,24-01-2019 21:11:23,24-01-2019 21:11:32
Machine Breakdown,03M,24-01-2019 21:11:32,24-01-2019 21:11:44
Machine Breakdown,03M,24-01-2019 21:11:44,24-01-2019 21:11:52
Machine Breakdown,03M,24-01-2019 21:11:52,24-01-2019 21:12:00
Machine Breakdown,03M,24-01-2019 21:12:00,24-01-2019 21:12:06
Machine Breakdown,03M,24-01-2019 21:12:06,24-01-2019 21:12:19
Machine Breakdown,03M,24-01-2019 21:12:19,24-01-2019 21:12:26
Machine Breakdown,03M,24-01-2019 21:12:26,24-01-2019 21:12:33
Machine Breakdown,03M,24-01-2019 21:12:33,24-01-2019 21:12:43
Machine Breakdown,03M,24-01-2019 21:12:43,24-01-2019 21:12:54
Machine Breakdown,03M,24-01-2019 21:12:54,24-01-2019 21:13:01
Machine Breakdown,03M,24-01-2019 21:13:01,24-01-2019 21:13:08
Machine Breakdown,03M,24-01-2019 21:13:08,24-01-2019 21:13:18
Machine Breakdown,03M,24-01-2019 21:13:18,24-01-2019 21:13:33
Machine Breakdown,03M,24-01-2019 21:13:33,24-01-2019 21:13:41
Machine Breakdown,03M,24-01-2019 21:13:41,24-01-2019 21:17:19
Machine Breakdown,03M,24-01-2019 21:17:19,24-01-2019 21:22:08
Machine Breakdown,03M,24-01-2019 21:22:08,25-01-2019 06:39:36
Machine Breakdown,03M,25-01-2019 06:39:36,25-01-2019 06:56:38
Machine Breakdown,03M,25-01-2019 06:56:38,25-01-2019 07:13:45
Heat check,03M,25-01-2019 07:13:45,25-01-2019 07:18:04
Machine Breakdown,03M,25-01-2019 07:18:04,25-01-2019 07:38:38
Heat check,03M,25-01-2019 07:38:38,25-01-2019 09:09:22
Machine Breakdown,03M,25-01-2019 09:09:22,25-01-2019 09:17:28
Heat check,03M,25-01-2019 09:17:28,25-01-2019 10:04:09
Machine Breakdown,03M,25-01-2019 10:04:09,25-01-2019 11:55:13
Machine Breakdown,03M,25-01-2019 11:55:13,25-01-2019 11:55:58
Machine Breakdown,03M,25-01-2019 11:55:58,25-01-2019 12:17:22
